     acc_x    ,     acc_y    ,     acc_z     
   -0.020508  ,    0.737305  ,   -0.679443  
   -0.020264  ,    0.739502  ,   -0.677979  
   -0.020020  ,    0.737549  ,   -0.680176  
   -0.022217  ,    0.737549  ,   -0.681885  
   -0.021729  ,    0.738525  ,   -0.683350  
   -0.022217  ,    0.737793  ,   -0.682861  
   -0.023682  ,    0.737793  ,   -0.684326  
   -0.023438  ,    0.737549  ,   -0.684326  
   -0.021484  ,    0.739258  ,   -0.681885  
   -0.021240  ,    0.738770  ,   -0.680664  
   -0.021240  ,    0.737305  ,   -0.679932  
   -0.019775  ,    0.737305  ,   -0.679199  
   -0.020508  ,    0.739258  ,   -0.679199  
   -0.020020  ,    0.737305  ,   -0.678223  
   -0.021973  ,    0.739258  ,   -0.679443  
   -0.020996  ,    0.739502  ,   -0.682129  
   -0.022705  ,    0.740479  ,   -0.682861  
   -0.024170  ,    0.738525  ,   -0.682617  
   -0.024170  ,    0.741455  ,   -0.679199  
   -0.022705  ,    0.737305  ,   -0.678223  
   -0.020508  ,    0.736328  ,   -0.677734  
   -0.017334  ,    0.738525  ,   -0.675781  
   -0.015625  ,    0.740479  ,   -0.671387  
   -0.013428  ,    0.741211  ,   -0.671387  
   -0.018066  ,    0.745117  ,   -0.678223  
   -0.023682  ,    0.742920  ,   -0.682373  
   -0.025146  ,    0.741455  ,   -0.683594  
   -0.028320  ,    0.739014  ,   -0.685547  
   -0.025879  ,    0.744629  ,   -0.679932  
   -0.023682  ,    0.744141  ,   -0.678467  
   -0.021240  ,    0.741455  ,   -0.672363  
   -0.020752  ,    0.740967  ,   -0.667969  
   -0.017822  ,    0.739258  ,   -0.668945  
   -0.015625  ,    0.741211  ,   -0.669189  
   -0.015869  ,    0.740479  ,   -0.679443  
   -0.021240  ,    0.741211  ,   -0.686768  
   -0.029785  ,    0.740479  ,   -0.693359  
   -0.036377  ,    0.749512  ,   -0.695312  
   -0.034912  ,    0.750732  ,   -0.688232  
   -0.028564  ,    0.749268  ,   -0.672363  
   -0.020020  ,    0.741943  ,   -0.662842  
   -0.015625  ,    0.737305  ,   -0.660156  
   -0.014404  ,    0.731934  ,   -0.663818  
   -0.010986  ,    0.735840  ,   -0.675049  
   -0.012207  ,    0.738770  ,   -0.680908  
   -0.015137  ,    0.747314  ,   -0.689209  
   -0.026367  ,    0.749756  ,   -0.687012  
   -0.029785  ,    0.752441  ,   -0.685791  
   -0.034424  ,    0.750244  ,   -0.676270  
   -0.030762  ,    0.740723  ,   -0.669922  
   -0.023682  ,    0.738770  ,   -0.670166  
   -0.013672  ,    0.737549  ,   -0.668213  
   -0.012451  ,    0.738770  ,   -0.669678  
   -0.012207  ,    0.743896  ,   -0.674805  
   -0.015869  ,    0.746338  ,   -0.677246  
   -0.021729  ,    0.749023  ,   -0.680908  
   -0.024902  ,    0.751221  ,   -0.680420  
   -0.028564  ,    0.748779  ,   -0.675781  
   -0.025146  ,    0.744629  ,   -0.672607  
   -0.024414  ,    0.743896  ,   -0.672852  
   -0.018799  ,    0.739990  ,   -0.672119  
   -0.017334  ,    0.744873  ,   -0.674072  
   -0.016357  ,    0.746582  ,   -0.671875  
   -0.015137  ,    0.747559  ,   -0.671875  
   -0.017578  ,    0.749756  ,   -0.673828  
   -0.018799  ,    0.748535  ,   -0.673584  
   -0.022461  ,    0.745361  ,   -0.672852  
   -0.022949  ,    0.743408  ,   -0.674316  
   -0.024902  ,    0.743408  ,   -0.675293  
   -0.022461  ,    0.743896  ,   -0.676270  
   -0.020264  ,    0.745361  ,   -0.673828  
   -0.020752  ,    0.747559  ,   -0.670410  
   -0.020264  ,    0.749023  ,   -0.670166  
   -0.015625  ,    0.747070  ,   -0.670410  
   -0.018555  ,    0.745850  ,   -0.670654  
   -0.020752  ,    0.743896  ,   -0.673340  
   -0.023193  ,    0.746582  ,   -0.673340  
   -0.022461  ,    0.747070  ,   -0.673828  
   -0.018311  ,    0.749268  ,   -0.674072  
   -0.020508  ,    0.746338  ,   -0.673828  
   -0.020020  ,    0.747070  ,   -0.672607  
   -0.020264  ,    0.748291  ,   -0.669922  
   -0.018555  ,    0.744141  ,   -0.669678  
   -0.018066  ,    0.744629  ,   -0.671143  
   -0.018555  ,    0.744873  ,   -0.672363  
   -0.019775  ,    0.744873  ,   -0.676025  
   -0.021729  ,    0.743408  ,   -0.678467  
   -0.022949  ,    0.747559  ,   -0.676514  
   -0.022949  ,    0.746582  ,   -0.675049  
   -0.022705  ,    0.745605  ,   -0.673096  
   -0.021240  ,    0.744873  ,   -0.670898  
   -0.018555  ,    0.747070  ,   -0.667480  
   -0.020264  ,    0.743896  ,   -0.671631  
   -0.018799  ,    0.746094  ,   -0.671143  
   -0.020264  ,    0.745361  ,   -0.673096  
   -0.021240  ,    0.745117  ,   -0.675781  
   -0.022217  ,    0.746094  ,   -0.676758  
   -0.023926  ,    0.746094  ,   -0.674072  
   -0.024170  ,    0.747559  ,   -0.672119  
   -0.021973  ,    0.744141  ,   -0.671387  
   -0.020508  ,    0.746094  ,   -0.674316  
   -0.018311  ,    0.747803  ,   -0.672607  
   -0.017822  ,    0.745361  ,   -0.675537  
   -0.020508  ,    0.744629  ,   -0.674316  
   -0.020020  ,    0.744873  ,   -0.674316  
   -0.019775  ,    0.745850  ,   -0.673340  
   -0.022705  ,    0.746338  ,   -0.675537  
   -0.023438  ,    0.745117  ,   -0.674805  
   -0.021240  ,    0.743408  ,   -0.674072  
   -0.020264  ,    0.746338  ,   -0.674072  
   -0.020996  ,    0.744141  ,   -0.674072  
   -0.019043  ,    0.745361  ,   -0.674072  
   -0.020264  ,    0.743896  ,   -0.675049  
   -0.019531  ,    0.745361  ,   -0.675293  
   -0.021240  ,    0.744385  ,   -0.677490  
   -0.022217  ,    0.743652  ,   -0.673096  
   -0.022949  ,    0.743164  ,   -0.676025  
   -0.022705  ,    0.742432  ,   -0.675293  
   -0.024414  ,    0.744141  ,   -0.676758  
   -0.023438  ,    0.744629  ,   -0.674316  
   -0.019775  ,    0.744385  ,   -0.674561  
   -0.016602  ,    0.747070  ,   -0.675049  
   -0.018311  ,    0.744385  ,   -0.674805  
   -0.022217  ,    0.742432  ,   -0.676270  
   -0.022461  ,    0.745117  ,   -0.676758  
   -0.022461  ,    0.744873  ,   -0.677979  
   -0.020996  ,    0.744141  ,   -0.673584  
   -0.020996  ,    0.744629  ,   -0.676025  
   -0.021973  ,    0.743408  ,   -0.675293  
   -0.020996  ,    0.739502  ,   -0.674561  
   -0.020996  ,    0.743408  ,   -0.676270  
   -0.020264  ,    0.744629  ,   -0.676270  
   -0.019531  ,    0.745117  ,   -0.672607  
   -0.019775  ,    0.745850  ,   -0.673584  
   -0.020752  ,    0.744141  ,   -0.676514  
   -0.024170  ,    0.739502  ,   -0.679199  
   -0.024902  ,    0.743652  ,   -0.679199  
   -0.025635  ,    0.743164  ,   -0.678955  
   -0.021240  ,    0.742920  ,   -0.675537  
   -0.020508  ,    0.746094  ,   -0.673828  
